Date,Events
1908-09-17,1
1912-07-12,1
1913-08-06,1
1913-09-09,1
1913-10-17,1
1915-03-05,1
1915-09-03,1
1916-07-28,1
1916-09-24,1
1916-10-01,1
1916-11-21,1
1916-11-28,1
1917-03-04,1
1917-03-30,1
1917-05-14,1
1917-06-14,1
1917-08-21,1
1917-10-20,1
1918-04-07,1
1918-05-10,1
1918-08-11,1
1918-12-16,1
1919-05-25,1
1919-07-19,1
1919-10-02,1
1919-10-14,1
1919-10-20,1
1919-10-30,1
1920-03-10,1
1920-03-30,1
1920-04-10,1
1920-04-11,1
1920-05-12,1
1920-06-06,1
1920-08-16,2
1920-08-16,1
1920-09-01,1
1920-09-15,1
1920-09-27,1
1920-10-02,1
1920-10-05,1
1920-10-15,1
1920-11-07,1
1920-12-14,1
1920-12-24,1
1921-02-03,1
1921-02-09,1
1921-02-15,1
1921-02-22,1
1921-04-06,1
1921-04-21,1
1921-04-29,1
1921-05-17,1
1921-07-16,1
1921-08-14,1
1921-08-24,1
1921-09-06,1
1921-12-05,1
1922-01-14,1
1922-02-21,1
1922-04-07,1
1922-04-08,1
1922-04-13,1
1925-10-01,1
1922-06-03,1
1922-07-26,1
1922-09-07,1
1922-10-02,1
1922-10-25,1
1922-12-03,1
1923-01-10,1
1923-01-17,1
1923-01-18,1
1923-02-26,1
1923-05-14,1
1923-08-27,1
1923-09-07,1
1923-09-14,1
1923-11-18,1
1923-12-06,1
1923-12-23,1
1923-12-24,1
1924-03-07,1
1924-04-24,1
1924-06-08,1
1924-08-01,1
1924-11-06,1
1924-12-21,1
1924-12-24,1
1925-03-22,1
1925-04-25,1
1925-05-25,1
1925-06-25,1
1925-06-26,1
1925-07-20,1
1925-07-24,1
1925-09-03,1
1925-09-07,1
1925-11-14,1
1926-02-12,1
1926-03-08,1
1926-05-31,1
1926-07-03,1
1926-07-09,1
1926-07-24,1
1926-08-18,1
1926-09-26,1
1926-10-08,1
1926-10-21,1
1926-11-11,1
1926-12-16,1
1927-01-12,1
1927-03-20,1
1927-03-24,1
1927-04-15,2
1927-04-22,1
1927-04-22,1
1927-05-02,1
1927-07-27,1
1927-08-22,1
1927-09-03,1
1927-09-17,1
1927-09-22,1
1927-09-23,1
1927-10-06,2
1927-10-30,1
1927-11-16,1
