lat,lng,elat,latevents,elng,lngevents
38.883541,-77.0810889,-82.5,1,-177.5,5
39.3642834,-74.4229266,-77.5,1,-172.5,7
48.4284207,-123.3656444,-72.5,0,-167.5,9
56.511018,3.515625,-67.5,0,-162.5,26
50.2074306,11.2858917,-62.5,0,-157.5,56
50.81057,4.93622,-57.5,0,-152.5,47
53.859336,8.6879057,-52.5,3,-147.5,56
42.4841999,26.5035023,-47.5,5,-142.5,4
51.627903,0.418397,-42.5,27,-137.5,13
51.696636,-0.175948,-37.5,36,-132.5,37
49.9928617,8.2472526,-32.5,89,-127.5,13
54.691745,-1.212926,-27.5,58,-122.5,126
51.0543422,3.7174243,-22.5,117,-117.5,173
50.9415388,6.9565985,-17.5,101,-112.5,83
53.0547626,4.7977149,-12.5,127,-107.5,91
53.2501844,4.9514271,-7.5,169,-102.5,83
45.567631,-92.509514,-2.5,213,-97.5,114
48.592237,6.492339,2.5,177,-92.5,149
34.5531284,18.0480105,7.5,236,-87.5,188
54.1833116,7.8827444,12.5,303,-82.5,231
53.440564,5.6587659,17.5,243,-77.5,317
40.6639916,-74.2107006,22.5,252,-72.5,339
41.49932,-81.6943605,27.5,269,-67.5,151
40.9064,-77.9395179,32.5,494,-62.5,96
54.978252,-1.61778,37.5,673,-57.5,61
39.2720509,-76.7319161,42.5,717,-52.5,44
50.134664,-0.357056,47.5,425,-47.5,71
40.7859331,-74.7801645,52.5,400,-42.5,55
41.5033572,-85.8307059,57.5,242,-37.5,14
40.735657,-74.1723667,62.5,168,-32.5,8
40.735657,-74.1723667,67.5,47,-27.5,28
40.7769943,-74.1704128,72.5,18,-22.5,4
41.2916728,-92.6493595,77.5,1,-17.5,27
41.49932,-81.6943605,82.5,2,-12.5,18
52.1359729,-0.4666546,,,-7.5,72
38.9896967,-76.93776,,,-2.5,189
40.7967667,-74.4815438,,,2.5,193
41.4108855,-83.46104,,,7.5,198
40.5395289,-76.9608103,,,12.5,191
42.518487,3.106592,,,17.5,140
39.4699075,-0.3762881,,,22.5,109
41.8500284,-88.3125738,,,27.5,101
41.0802621,-105.5074905,,,32.5,144
51.555684,-0.21396,,,37.5,156
41.3850639,2.1734035,,,42.5,74
44.8871878,-93.1643869,,,47.5,51
43.8013556,-91.2395807,,,52.5,46
36.140751,-5.353585,,,57.5,32
40.8324211,-115.7631232,,,62.5,19
-37.9178086,144.7477259,,,67.5,67
40.7339981,-73.595515,,,72.5,64
41.49932,-81.6943605,,,77.5,70
41.5874644,-109.2029043,,,82.5,36
37.7749295,-122.4194155,,,87.5,40
43.604652,1.444209,,,92.5,35
53.745365,-0.2956928,,,97.5,43
48.856614,2.3522219,,,102.5,111
-36.6016558,145.2195321,,,107.5,124
48.856614,2.3522219,,,112.5,65
36.8507689,-76.2858726,,,117.5,48
49.665342,1.939705,,,122.5,134
39.206062,115.04908,,,127.5,39
53.411758,-2.317364,,,132.5,36
40.6792982,-80.8880562,,,137.5,53
51.081397,1.169456,,,142.5,62
36.5270612,-6.2885962,,,147.5,51
39.768403,-86.158068,,,152.5,26
45.4408474,12.3155151,,,157.5,5
35.1744271,-6.1473964,,,162.5,4
34.0181246,-5.0078451,,,167.5,13
41.919229,8.738635,,,172.5,16
41.3850639,2.1734035,,,177.5,13
41.1399814,-104.8202462,,,,
41.6414438,-80.1514484,,,,
49.70958,2.17198,,,,
44.4267674,26.1025384,,,,
41.4645824,-83.9521687,,,,
51.4308255,-1.1444927,,,,
61.52401,105.318756,,,,
41.4000523,-82.8085204,,,,
34.5531284,18.0480105,,,,
41.1697041,-104.2568991,,,,
40.9658931,-78.6130821,,,,
50.134664,-0.357056,,,,
11.0041072,-74.8069813,,,,
37.09024,-95.712891,,,,
43.545815,3.125343,,,,
41.5822716,-85.8344383,,,,
51.339228,-0.119711,,,,
41.7151377,44.827096,,,,
38.3459963,-0.4906855,,,,
38.3459963,-0.4906855,,,,
50.125434,3.691623,,,,
38.3459963,-0.4906855,,,,
40.428817,-3.6053791,,,,
47.497912,19.040235,,,,
39.7478508,-81.5165127,,,,
48.678296,5.890159,,,,
50.725231,1.613334,,,,
41.5844951,-84.6055076,,,,
52.5348604,13.1431864,,,,
50.134664,-0.357056,,,,
49.817492,15.472962,,,,
50.95088,4.30927,,,,
53.681385,7.008163,,,,
51.1645846,0.5529482,,,,
40.7127837,-74.0059413,,,,
51.55092,8.5597678,,,,
50.134664,-0.357056,,,,
26.1252493,-14.4847347,,,,
42.3265152,-122.8755949,,,,
50.62925,3.057256,,,,
33.9715904,-6.8498129,,,,
-24.883333,146.25,,,,
43.0040661,-115.2039579,,,,
41.5822716,-85.8344383,,,,
50.7562528,10.4819945,,,,
36.753768,3.0587561,,,,
50.797725,8.9219942,,,,
51.27241,0.190898,,,,
41.8809434,-72.2600655,,,,
40.5529452,-74.422868,,,,
51.37795,11.857969,,,,
50.5761665,11.8090005,,,,
21.00789,-10.940835,,,,
40.4862157,-74.4518188,,,,
48.5734053,7.7521113,,,,
59.9124514,26.2623373,,,,
41.4372721,-85.1471934,,,,
36.834047,-2.4637136,,,,
40.463667,-3.74922,,,,
46.227638,2.213749,,,,
42.9056288,-74.5718073,,,,
-34.7871645,-55.3834967,,,,
41.1188827,1.2444909,,,,
46.227638,2.213749,,,,
36.834047,-2.4637136,,,,
41.0069471,-98.009662,,,,
-22.9068467,-43.1728965,,,,
50.871091,1.583382,,,,
38.9176041,-77.0476696,,,,
40.463667,-3.74922,,,,
44.7442714,-93.1499651,,,,
51.2015995,7.3590901,,,,
50.1109221,8.6821267,,,,
38.4166818,-95.8530441,,,,
59.9124514,26.2623373,,,,
51.339228,-0.119711,,,,
51.8889939,4.441736,,,,
48.1170387,-122.7604472,,,,
48.678296,5.890159,,,,
-34.9284989,138.6007456,,,,
42.8713032,-112.4455344,,,,
49.6908242,11.0048276,,,,
41.9794005,2.8214264,,,,
41.3670014,-79.9292233,,,,
44.933393,4.89236,,,,
36.140751,-5.353585,,,,
41.4486619,-84.7480123,,,,
41.3873741,-80.8691273,,,,
41.4486619,-84.7480123,,,,
33.4764767,-100.8556857,,,,
-14.235004,-51.92528,,,,
-22.9068467,-43.1728965,,,,
52.4465493,11.4862361,,,,
41.3950489,-82.5551733,,,,
35.0456297,-85.3096801,,,,
49.258329,4.031696,,,,
41.9542632,-72.3023022,,,,
45.2965256,-117.8079872,,,,
39.6249838,19.9223461,,,,
39.629526,-79.9558968,,,,
31.791702,-7.09262,,,,
40.735657,-74.1723667,,,,
33.9294606,-116.977248,,,,
32.715738,-117.1610838,,,,
47.162494,19.503304,,,,
36.753768,3.0587561,,,,
20.01693,-75.8301537,,,,
41.3850639,2.1734035,,,,
50.919325,0.96528,,,,
44.9537029,-93.0899578,,,,
47.6363377,9.3892445,,,,
39.9611755,-82.9987942,,,,
34.4047987,-103.2052272,,,,
42.6886591,2.8948332,,,,
43.6028079,39.7341543,,,,
49.2974797,6.8451707,,,,
34.8480597,-114.6141315,,,,
35.2386491,-107.6081575,,,,
25.6577006,57.7856677,,,,
35.1744271,-6.1473964,,,,
32.61768,-116.1874241,,,,
41.5806542,-72.7567636,,,,
44.2447913,9.7678687,,,,
40.3933956,-82.4857181,,,,
47.5650067,-122.6269768,,,,
20.403852,-97.2878798,,,,
51.247571,-0.067578,,,,
42.0396042,9.0128926,,,,
45.6318397,-122.6716063,,,,
41.4298516,-81.3910999,,,,
34.5531284,18.0480105,,,,
52.5200066,13.404954,,,,
35.2219971,-101.8312969,,,,
41.1874828,-103.1129824,,,,
