lng,Events
-177.5,5
-172.5,7
-167.5,9
-162.5,26
-157.5,56
-152.5,47
-147.5,56
-142.5,4
-137.5,13
-132.5,37
-127.5,13
-122.5,126
-117.5,173
-112.5,83
-107.5,91
-102.5,83
-97.5,114
-92.5,149
-87.5,188
-82.5,231
-77.5,317
-72.5,339
-67.5,151
-62.5,96
-57.5,61
-52.5,44
-47.5,71
-42.5,55
-37.5,14
-32.5,8
-27.5,28
-22.5,4
-17.5,27
-12.5,18
-7.5,72
-2.5,189
2.5,193
7.5,198
12.5,191
17.5,140
22.5,109
27.5,101
32.5,144
37.5,156
42.5,74
47.5,51
52.5,46
57.5,32
62.5,19
67.5,67
72.5,64
77.5,70
82.5,36
87.5,40
92.5,35
97.5,43
102.5,111
107.5,124
112.5,65
117.5,48
122.5,134
127.5,39
132.5,36
137.5,53
142.5,62
147.5,51
152.5,26
157.5,5
162.5,4
167.5,13
172.5,16
177.5,13
